week,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2015-12-28,182.0,0.0,71.0,54.0,0.0,0.0,0.0
2016-01-04,31.0,4.0,103.0,110.0,11.0,5.0,7.0
2016-01-11,41.0,12.0,160.0,137.0,16.0,9.0,8.0
2016-01-18,49.0,19.0,164.0,149.0,14.0,8.0,12.0
2016-01-25,38.0,10.0,172.0,168.0,14.0,11.0,14.0
2016-02-01,41.0,6.0,153.0,139.0,9.0,4.0,13.0
2016-02-08,49.0,18.0,169.0,133.0,15.0,13.0,7.0
2016-02-15,47.0,34.0,205.0,151.0,23.0,14.0,8.0
2016-02-22,50.0,11.0,196.0,169.0,15.0,15.0,13.0
2016-02-29,43.0,18.0,180.0,96.0,21.0,7.0,10.0
2016-03-07,37.0,12.0,208.0,115.0,13.0,15.0,8.0
2016-03-14,64.0,24.0,190.0,193.0,22.0,23.0,11.0
2016-03-21,52.0,25.0,217.0,190.0,44.0,18.0,23.0
2016-03-28,50.0,32.0,203.0,201.0,12.0,10.0,19.0
2016-04-04,44.0,25.0,176.0,174.0,24.0,12.0,9.0
2016-04-11,49.0,14.0,225.0,195.0,13.0,11.0,19.0
2016-04-18,53.0,17.0,210.0,225.0,22.0,9.0,18.0
2016-04-25,52.0,11.0,265.0,194.0,19.0,5.0,12.0
2016-05-02,80.0,18.0,301.0,221.0,35.0,10.0,19.0
2016-05-09,46.0,21.0,252.0,225.0,21.0,17.0,20.0
2016-05-16,57.0,25.0,337.0,270.0,31.0,22.0,10.0
2016-05-23,43.0,35.0,268.0,330.0,33.0,14.0,16.0
2016-05-30,49.0,131.0,238.0,192.0,25.0,17.0,26.0
2016-06-06,48.0,29.0,289.0,250.0,37.0,15.0,17.0
2016-06-13,71.0,36.0,208.0,205.0,25.0,30.0,18.0
2016-06-20,59.0,34.0,201.0,208.0,29.0,17.0,14.0
2016-06-27,51.0,26.0,151.0,208.0,24.0,21.0,14.0
2016-07-04,42.0,136.0,194.0,188.0,24.0,51.0,13.0
2016-07-11,66.0,31.0,235.0,232.0,15.0,22.0,19.0
2016-07-18,47.0,24.0,193.0,174.0,12.0,26.0,11.0
2016-07-25,64.0,39.0,188.0,193.0,21.0,9.0,19.0
2016-08-01,37.0,26.0,232.0,217.0,24.0,15.0,8.0
2016-08-08,61.0,24.0,199.0,213.0,22.0,25.0,20.0
2016-08-15,56.0,23.0,203.0,206.0,21.0,14.0,9.0
2016-08-22,64.0,18.0,233.0,234.0,26.0,12.0,14.0
2016-08-29,50.0,30.0,218.0,268.0,17.0,14.0,15.0
2016-09-05,69.0,116.0,191.0,202.0,21.0,16.0,17.0
2016-09-12,67.0,18.0,254.0,248.0,23.0,24.0,18.0
2016-09-19,75.0,24.0,275.0,238.0,14.0,9.0,17.0
2016-09-26,51.0,18.0,224.0,187.0,12.0,10.0,18.0
2016-10-03,54.0,27.0,214.0,188.0,21.0,21.0,8.0
2016-10-10,49.0,21.0,246.0,215.0,17.0,5.0,10.0
2016-10-17,54.0,23.0,319.0,239.0,21.0,16.0,17.0
2016-10-24,101.0,15.0,450.0,356.0,16.0,21.0,16.0
2016-10-31,0.0,25.0,0.0,0.0,0.0,0.0,0.0
